Assembly, pident, qcovs, Qval,Strain,Size (Mb),WGS,Scaffolds,Genes,Proteins
GCA_000146385.1,6,12,18,ATCC BAA-39,2.93452,AEEK01,25,3021,2864
GCA_000149015.1,7,12,19,TCH70,2.81893,ACHH02,5,2952,2799
GCA_000153665.1,12,16,28,USA300_TCH959,2.84548,AASB02,174,2957,2784
GCA_000159555.1,6,12,18,TCH130,2.78,ACHD01,248,2835,2685
GCA_000160355.1,28,16,44,65-1322,2.80974,ACJS01,15,2900,2714
GCA_000160375.1,25,16,41,68-397,2.80583,ACJT01,23,2912,2718
GCA_000160395.1,27,16,43,E1410,2.83877,ACJU01,17,2955,2767
GCA_000160415.1,25,15,40,M876,2.79131,ACJV01,16,2892,2720
GCA_000162595.1,24,14,38,C101,2.80619,ACSP01,21,2908,2747
GCA_000162615.1,27,15,42,C427,2.89184,ACSQ01,18,3020,2823
GCA_000162635.1,21,18,39,D139,2.82951,ACSR01,31,2958,2713
GCA_000162655.1,21,15,36,H19,2.80792,ACSS01,13,2922,2704
GCA_000162675.1,25,16,41,M1015,2.78584,ACST01,20,2898,2725
GCA_000162695.1,25,15,40,M899,2.78797,ACSU01,18,2897,2728
GCA_000162715.1,22,13,35,WBG10049,2.8008,ACSV01,12,2869,2706
GCA_000162735.1,24,17,41,WW2703/97,2.80475,ACSW01,36,2895,2655
GCA_000162795.1,23,16,39,M809,2.79836,ACUS01,27,2895,2713
GCA_000162815.1,25,16,41,58-424,2.82837,ACUT01,23,2971,2732
GCA_000162835.1,26,15,41,Btn1260,2.79925,ACUU01,17,2913,2710
GCA_000162855.1,25,14,39,C160,2.84344,ACUV01,26,2997,2786
GCA_000163335.1,24,13,37,A017934/97,2.81932,ACYP01,20,2947,2735
GCA_000163575.1,24,13,37,EMRSA16,2.90261,ADAT01,26,3050,2827
GCA_000164715.1,11,16,27,ATCC 51811,2.77858,ADVP01,27,2904,2738
GCA_000187145.1,1,10,11,MRSA131,2.81757,AECR01,39,2938,2832
GCA_000187165.1,2,11,13,MRSA177,2.82604,AECP01,47,2946,2839
GCA_000261165.1,24,16,40,LCT-SA112,2.79313,AJLP01,6,2817,2656
GCA_000294385.2,9,12,21,CM05,2.83314,AMAB01,105,2936,2790
GCA_000359765.1,0,10,10,HI010,2.90376,AIVH01,4,3063,2903
GCA_000359785.1,0,10,10,HI013,2.94633,AIVP01,5,3128,2964
