Assembly, pident, qcovs, Qval,Strain,Size (Mb),WGS,Scaffolds,Genes,Proteins
GCA_000171435.1,6,16,22,930918-3,2.92346,ABFA01,736,3057,2853
GCA_000171455.1,5,15,20,D30,2.77562,ABFB01,463,2835,2695
GCA_000172855.1,8,13,21,JKD6009,2.81945,ABSA01,129,2947,2809
GCA_000174455.1,10,13,23,A5937,2.82727,ACKC01,32,2945,2820
GCA_000174475.1,4,11,15,A5948,2.84611,ACKD01,65,2995,2849
GCA_000174495.1,9,11,20,A6224,2.87023,ACKE01,49,3010,2874
GCA_000174515.1,11,13,24,A6300,2.81665,ACKF01,49,2919,2794
GCA_000174535.1,11,15,26,A8115,2.74696,ACKG01,38,2849,2718
GCA_000174555.1,10,14,24,A9299,2.78218,ACKH01,48,2916,2778
GCA_000174575.1,24,15,39,A9635,2.73126,ACKI01,40,2835,2660
GCA_000174595.1,9,11,20,A9719,2.85696,ACKJ01,60,2986,2850
GCA_000174615.1,10,13,23,A9763,2.76986,ACKK01,41,2873,2744
GCA_000174635.1,10,12,22,A9781,2.82217,ACKL01,50,2952,2805
GCA_000174955.1,4,12,16,132,2.82536,ACOT01,46,2997,2865
GCA_000175475.1,4,13,17,A9765,2.88795,ACSN01,86,3057,2920
GCA_000175495.1,11,12,23,A10102,2.82063,ACSO01,45,2930,2808
GCA_000175955.1,13,16,29,A8117,2.71585,ACYO01,32,2800,2656
GCA_000176195.1,10,21,31,MR1,2.80897,ACZQ01,339,2921,2759
GCA_000177995.1,0,12,12,A9754,2.93032,ADJI01,59,3096,2932
GCA_000178015.1,9,12,21,A8796,2.96824,ADJJ01,98,3197,2993
GCA_000178035.1,9,11,20,A8819,2.91647,ADJK01,48,3088,2919
GCA_000180095.1,13,15,28,Mu50-omega,2.87843,BABM01,1,3006,2841
GCA_000193835.1,26,15,41,NA,NA,NA,NA,NA,NA
GCA_000193855.1,0,10,10,NA,NA,NA,NA,NA,NA
GCA_000193875.1,11,12,23,NA,NA,NA,NA,NA,NA
GCA_000205345.1,8,14,22,NA,NA,NA,NA,NA,NA
GCA_000205365.1,12,14,26,NA,NA,NA,NA,NA,NA
GCA_000205385.1,13,18,31,NA,NA,NA,NA,NA,NA
GCA_000208695.1,8,14,22,16K,2.83314,BABZ01,107,2966,2815
GCA_000212435.1,7,15,22,NA,NA,NA,NA,NA,NA
GCA_000215405.1,9,19,28,NA,NA,NA,NA,NA,NA
GCA_000215425.1,14,15,29,NA,NA,NA,NA,NA,NA
GCA_000221725.1,12,16,28,NA,NA,NA,NA,NA,NA
GCA_000221745.1,13,19,32,NA,NA,NA,NA,NA,NA
GCA_000221805.1,12,18,30,NA,NA,NA,NA,NA,NA
GCA_000221825.1,24,16,40,NA,NA,NA,NA,NA,NA
GCA_000221845.1,24,16,40,NA,NA,NA,NA,NA,NA
GCA_000239535.1,25,19,44,NA,NA,NA,NA,NA,NA
GCA_000239555.1,22,16,38,NA,NA,NA,NA,NA,NA
GCA_000239575.1,13,13,26,NA,NA,NA,NA,NA,NA
GCA_000239595.1,9,13,22,NA,NA,NA,NA,NA,NA
GCA_000239615.1,4,13,17,NA,NA,NA,NA,NA,NA
GCA_000239635.1,7,13,20,NA,NA,NA,NA,NA,NA
GCA_000239655.1,22,15,37,NA,NA,NA,NA,NA,NA
GCA_000239675.1,3,13,16,NA,NA,NA,NA,NA,NA
GCA_000242475.1,25,14,39,NA,NA,NA,NA,NA,NA
GCA_000242495.1,12,15,27,NA,NA,NA,NA,NA,NA
GCA_000242515.1,25,14,39,NA,NA,NA,NA,NA,NA
GCA_000242535.1,12,15,27,NA,NA,NA,NA,NA,NA
GCA_000242555.1,5,13,18,NA,NA,NA,NA,NA,NA
GCA_000242575.1,8,12,20,NA,NA,NA,NA,NA,NA
GCA_000245575.1,25,15,40,NA,NA,NA,NA,NA,NA
GCA_000245595.1,9,11,20,NA,NA,NA,NA,NA,NA
GCA_000245615.1,25,14,39,NA,NA,NA,NA,NA,NA
GCA_000247275.1,9,12,21,NA,NA,NA,NA,NA,NA
GCA_000247355.1,0,16,16,NA,NA,NA,NA,NA,NA
GCA_000247375.1,12,16,28,NA,NA,NA,NA,NA,NA
GCA_000247395.1,1,20,21,NA,NA,NA,NA,NA,NA
GCA_000247415.1,10,16,26,NA,NA,NA,NA,NA,NA
GCA_000248475.1,9,11,20,NA,NA,NA,NA,NA,NA
GCA_000248495.1,3,13,16,NA,NA,NA,NA,NA,NA
GCA_000248515.1,10,12,22,NA,NA,NA,NA,NA,NA
GCA_000248535.1,24,12,36,NA,NA,NA,NA,NA,NA
GCA_000248555.2,24,12,36,NA,NA,NA,NA,NA,NA
GCA_000248575.1,24,12,36,NA,NA,NA,NA,NA,NA
GCA_000248595.1,24,12,36,NA,NA,NA,NA,NA,NA
GCA_000248615.1,9,11,20,NA,NA,NA,NA,NA,NA
GCA_000248635.1,9,11,20,NA,NA,NA,NA,NA,NA
GCA_000248655.1,7,12,19,NA,NA,NA,NA,NA,NA
GCA_000248675.1,6,16,22,NA,NA,NA,NA,NA,NA
GCA_000248695.1,9,11,20,NA,NA,NA,NA,NA,NA
GCA_000248715.1,10,12,22,NA,NA,NA,NA,NA,NA
GCA_000248735.1,24,12,36,NA,NA,NA,NA,NA,NA
GCA_000248755.1,9,12,21,NA,NA,NA,NA,NA,NA
GCA_000248775.1,25,14,39,NA,NA,NA,NA,NA,NA
GCA_000248795.1,3,13,16,NA,NA,NA,NA,NA,NA
GCA_000248815.1,3,13,16,NA,NA,NA,NA,NA,NA
GCA_000248835.1,3,14,17,NA,NA,NA,NA,NA,NA
GCA_000248855.1,23,12,35,NA,NA,NA,NA,NA,NA
GCA_000248875.1,24,12,36,NA,NA,NA,NA,NA,NA
GCA_000248895.1,23,12,35,NA,NA,NA,NA,NA,NA
GCA_000248915.1,21,14,35,NA,NA,NA,NA,NA,NA
GCA_000248935.1,9,11,20,NA,NA,NA,NA,NA,NA
GCA_000248955.1,24,12,36,NA,NA,NA,NA,NA,NA
GCA_000248975.1,4,13,17,NA,NA,NA,NA,NA,NA
GCA_000248995.1,9,11,20,NA,NA,NA,NA,NA,NA
GCA_000249015.1,8,12,20,NA,NA,NA,NA,NA,NA
GCA_000249035.1,10,13,23,NA,NA,NA,NA,NA,NA
GCA_000252405.1,19,15,34,NA,NA,NA,NA,NA,NA
GCA_000257985.1,10,14,24,IS-M,2.81132,AJLD01,49,2938,2701
GCA_000259715.1,9,15,24,118,2.7614,AJGE01,78,2830,2709
GCA_000260015.1,6,17,23,IS-157,2.97398,AICH01,185,3220,2920
GCA_000260035.1,9,15,24,IS-160,2.79378,AICI01,221,2927,2598
GCA_000260315.1,8,13,21,VCU006,2.67929,AGTZ01,37,2760,2563
GCA_000262815.1,11,16,27,VRS1,2.92261,AHBK01,123,3120,2892
GCA_000262835.1,11,13,24,VRS2,2.97385,AHBL01,97,3153,2920
GCA_000262855.1,10,13,23,VRS3a,2.89007,AHBM01,91,3053,2834
GCA_000262875.1,9,13,22,VRS4,2.8592,AHBN01,72,3021,2833
GCA_000262895.1,11,13,24,VRS5,2.91999,AHBO01,96,3102,2921
GCA_000262915.1,10,16,26,VRS6,2.90844,AHBP01,103,3099,2891
GCA_000262935.1,10,12,22,VRS7,3.0891,AHBQ01,125,3324,3117
GCA_000262955.1,10,16,26,VRS8,2.93269,AHBR01,79,3109,2884
GCA_000262975.1,9,15,24,VRS9,2.91428,AHBS01,68,3065,2861
GCA_000262995.1,10,14,24,NA,NA,NA,NA,NA,NA
GCA_000263015.1,9,11,20,VRS11a,2.9851,AHBU01,59,3157,2967
GCA_000263035.1,9,13,22,VRS11b,2.98693,AHBV01,62,3157,2966
GCA_000276625.1,12,15,27,Newbould 305,2.79039,AKYW01,28,2895,2730
GCA_000280745.1,13,14,27,GR1,2.80194,AJLX01,68,2907,2786
GCA_000284895.1,4,12,16,NN50 substr. aureus,2.82224,BAEA01,65,2985,2824
GCA_000307695.1,23,14,37,M2,2.90246,AMTC01,133,3025,2776
GCA_000308895.1,11,14,25,PM1,2.82765,BAFA01,90,2966,2777
GCA_000308915.1,11,12,23,NN54,2.88683,BAFI01,60,2994,2861
GCA_000313595.1,8,13,21,CN79,2.87668,ANCJ01,28,2995,2873
GCA_000330685.1,5,14,19,21282,2.82623,AMPF01,95,2991,2874
GCA_000330825.2,6,14,20,DSM 20231,2.75632,AMYL01,16,2870,2741
GCA_000332665.1,11,14,25,21236,2.7452,ANAK01,67,2845,2717
GCA_000332685.1,11,13,24,21196,2.79932,ANAL01,78,2913,2771
