Assembly, pident, qcovs,Qval,Strain,Size (Mb),WGS,Scaffolds,Genes,Proteins
GCA_000160335.2,2,3,5,55/2053,2.77737,-,2,2878,2693
GCA_000284535.1,1,3,4,HO 5096 0412,2.8323,-,1,2936,2750
GCA_001018845.2,2,2,4,NRS153,2.88124,-,1,2991,2788
GCA_001456215.1,2,2,4,MS4,2.7098,-,1,2809,2624
GCA_000412775.1,1,2,3,CA-347,2.87516,-,2,2994,2809
GCA_000462955.1,0,3,3,6850,2.73656,-,1,2805,2593
GCA_001027045.1,1,2,3,RKI4,2.74356,-,2,2864,2664
GCA_000010465.1,1,1,2,Newman,2.8789,-,1,3065,2919
GCA_000159535.2,0,2,2,TCH60,2.82717,-,2,2907,2691
GCA_000239235.1,1,1,2,11819-97,2.86886,-,2,2986,2821
GCA_000253135.1,1,1,2,ECT-R 2,2.75905,-,3,2851,2689
GCA_000452385.2,0,2,2,Tager 104,2.82084,-,1,2945,2678
GCA_000815085.1,1,1,2,31b_MRSA,2.87278,-,1,3016,2873
GCA_001018655.2,1,1,2,FDAARGOS_6,2.75929,-,2,2852,2697
GCA_001018735.2,1,1,2,NRS137,2.72574,-,2,2816,2667
GCA_001045995.2,1,1,2,HUV05,2.91559,-,4,3069,2894
GCA_001296985.1,1,1,2,GR2,2.82417,-,3,2924,2760
GCA_001515685.1,1,1,2,Be62,3.00124,-,2,3174,2972
GCA_001887075.1,1,1,2,LA-MRSA ST398,2.8414,-,3,2942,2767
GCA_002089055.1,1,1,2,GD5,2.78475,-,1,2854,2666
GCA_002209325.1,0,2,2,FORC_045,2.80717,-,1,2916,2740
GCA_000237125.1,0,1,1,M013,2.78864,-,1,2877,2642
GCA_000245495.1,0,1,1,VC40,2.69257,-,1,2790,2640
GCA_000382965.1,0,1,1,ST228,2.79069,-,2,2883,2711
GCA_000382985.1,0,1,1,ST228,2.79674,-,2,2883,2705
GCA_000383005.1,0,1,1,ST228,2.78309,-,2,2872,2701
GCA_000967325.1,0,1,1,ST228,2.79036,-,2,2881,2714
GCA_000967345.1,0,1,1,ST228,2.79037,-,2,2881,2710
GCA_000967365.1,0,1,1,ST228,2.79207,-,2,2883,2707
GCA_000967385.1,0,1,1,ST228,2.79217,-,2,2882,2709
GCA_000967405.1,0,1,1,ST228,2.78302,-,2,2872,2698
GCA_001018835.2,0,1,1,NRS271,2.87905,-,2,2976,2793
