,Assembly,pident,qcovs,Qval,#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
0,GCA_000146385.1,6,11,17,Staphylococcus aureus subsp. aureus ATCC BAA-39,Bacteria;Terrabacteria group;Firmicutes,ATCC BAA-39,SAMN00117207,PRJNA50533,Scaffold,2.93452,33.1,,AEEK01,25.0,2737.0,2010-08-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/385/GCA_000146385.1_ASM14638v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/385/GCF_000146385.1_ASM14638v1
1,GCA_000149015.1,7,12,19,Staphylococcus aureus subsp. aureus TCH70,Bacteria;Terrabacteria group;Firmicutes,TCH70,SAMN00001489,PRJNA31543,Scaffold,2.81893,32.7,,ACHH02,5.0,2665.0,2009-02-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/015/GCA_000149015.1_ASM14901v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/015/GCF_000149015.1_ASM14901v1
2,GCA_000153665.1,12,16,28,Staphylococcus aureus subsp. aureus USA300_TCH959,Bacteria;Terrabacteria group;Firmicutes,USA300_TCH959,SAMN00001491,PRJNA19921,Scaffold,2.84548,32.9648,plasmid pUSA300HOUMS:NC_010066.1/CP000732.1,AASB02,174.0,2746.0,2007-11-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/665/GCA_000153665.1_ASM15366v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/665/GCF_000153665.1_ASM15366v1
3,GCA_000159555.1,6,12,18,Staphylococcus aureus subsp. aureus TCH130,Bacteria;Terrabacteria group;Firmicutes,TCH130,SAMN00001490,PRJNA31541,Scaffold,2.78,33.1,,ACHD01,248.0,2690.0,2009-03-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/555/GCA_000159555.1_ASM15955v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/555/GCF_000159555.1_ASM15955v1
4,GCA_000160355.1,27,16,43,Staphylococcus aureus subsp. aureus 65-1322,Bacteria;Terrabacteria group;Firmicutes,65-1322,SAMN02595313,PRJNA34893,Scaffold,2.80974,32.9,,ACJS01,15.0,2623.0,2009-08-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/355/GCA_000160355.1_ASM16035v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/355/GCF_000160355.1_ASM16035v1
5,GCA_000160375.1,24,16,40,Staphylococcus aureus subsp. aureus 68-397,Bacteria;Terrabacteria group;Firmicutes,68-397,SAMN02595314,PRJNA34895,Scaffold,2.80583,33.0,,ACJT01,23.0,2614.0,2009-08-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/375/GCA_000160375.1_ASM16037v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/375/GCF_000160375.1_ASM16037v1
6,GCA_000160395.1,26,16,42,Staphylococcus aureus subsp. aureus E1410,Bacteria;Terrabacteria group;Firmicutes,E1410,SAMN02595315,PRJNA34897,Scaffold,2.83877,32.9,,ACJU01,17.0,2666.0,2009-08-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/395/GCA_000160395.1_ASM16039v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/395/GCF_000160395.1_ASM16039v1
7,GCA_000160415.1,24,15,39,Staphylococcus aureus subsp. aureus M876,Bacteria;Terrabacteria group;Firmicutes,M876,SAMN02595316,PRJNA34899,Scaffold,2.79131,32.9,,ACJV01,16.0,2617.0,2009-09-04T18:24:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/415/GCA_000160415.1_ASM16041v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/415/GCF_000160415.1_ASM16041v1
8,GCA_000162595.1,23,14,37,Staphylococcus aureus subsp. aureus C101,Bacteria;Terrabacteria group;Firmicutes,C101,SAMN02595338,PRJNA39227,Scaffold,2.80619,32.9,,ACSP01,21.0,2643.0,2009-12-29T14:33:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/595/GCA_000162595.1_ASM16259v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/595/GCF_000162595.1_ASM16259v1
9,GCA_000162615.1,27,15,42,Staphylococcus aureus subsp. aureus C427,Bacteria;Terrabacteria group;Firmicutes,C427,SAMN02595339,PRJNA39229,Scaffold,2.89184,32.9,,ACSQ01,18.0,2726.0,2009-12-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/615/GCA_000162615.1_ASM16261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/615/GCF_000162615.1_ASM16261v1
10,GCA_000162635.1,21,18,39,Staphylococcus aureus subsp. aureus D139,Bacteria;Terrabacteria group;Firmicutes,D139,SAMN02595340,PRJNA39231,Scaffold,2.82951,32.9,,ACSR01,31.0,2624.0,2009-12-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/635/GCA_000162635.1_ASM16263v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/635/GCF_000162635.1_ASM16263v1
11,GCA_000162655.1,20,15,35,Staphylococcus aureus subsp. aureus H19,Bacteria;Terrabacteria group;Firmicutes,H19,SAMN02595341,PRJNA39233,Scaffold,2.80792,32.8,,ACSS01,13.0,2601.0,2009-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/655/GCA_000162655.1_ASM16265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/655/GCF_000162655.1_ASM16265v1
12,GCA_000162675.1,24,16,40,Staphylococcus aureus subsp. aureus M1015,Bacteria;Terrabacteria group;Firmicutes,M1015,SAMN02595342,PRJNA39237,Scaffold,2.78584,32.9,,ACST01,20.0,2623.0,2009-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/675/GCA_000162675.1_ASM16267v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/675/GCF_000162675.1_ASM16267v1
13,GCA_000162695.1,24,15,39,Staphylococcus aureus subsp. aureus M899,Bacteria;Terrabacteria group;Firmicutes,M899,SAMN02595343,PRJNA39239,Scaffold,2.78797,32.9,,ACSU01,18.0,2624.0,2009-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/695/GCA_000162695.1_ASM16269v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/695/GCF_000162695.1_ASM16269v1
14,GCA_000162715.1,22,13,35,Staphylococcus aureus subsp. aureus WBG10049,Bacteria;Terrabacteria group;Firmicutes,WBG10049,SAMN02595344,PRJNA39241,Scaffold,2.8008,32.8,,ACSV01,12.0,2603.0,2009-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/715/GCA_000162715.1_ASM16271v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/715/GCF_000162715.1_ASM16271v1
15,GCA_000162735.1,24,17,41,Staphylococcus aureus subsp. aureus WW2703/97,Bacteria;Terrabacteria group;Firmicutes,WW2703/97,SAMN02595345,PRJNA39243,Scaffold,2.80475,33.0,,ACSW01,36.0,2574.0,2009-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/735/GCA_000162735.1_ASM16273v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/735/GCF_000162735.1_ASM16273v1
16,GCA_000162795.1,23,15,38,Staphylococcus aureus subsp. aureus M809,Bacteria;Terrabacteria group;Firmicutes,M809,SAMN02595350,PRJNA39525,Scaffold,2.79836,32.9,,ACUS01,27.0,2619.0,2010-03-24T14:46:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/795/GCA_000162795.1_ASM16279v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/795/GCF_000162795.1_ASM16279v1
17,GCA_000162815.1,24,16,40,Staphylococcus aureus subsp. aureus 58-424,Bacteria;Terrabacteria group;Firmicutes,58-424,SAMN02595351,PRJNA39527,Scaffold,2.82837,32.9,,ACUT01,23.0,2643.0,2010-03-16T11:47:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/815/GCA_000162815.1_ASM16281v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/815/GCF_000162815.1_ASM16281v1
18,GCA_000162835.1,26,15,41,Staphylococcus aureus subsp. aureus Btn1260,Bacteria;Terrabacteria group;Firmicutes,Btn1260,SAMN02595352,PRJNA39529,Scaffold,2.79925,32.8,,ACUU01,17.0,2604.0,2009-12-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/835/GCA_000162835.1_ASM16283v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/835/GCF_000162835.1_ASM16283v1
19,GCA_000162855.1,25,14,39,Staphylococcus aureus subsp. aureus C160,Bacteria;Terrabacteria group;Firmicutes,C160,SAMN02595353,PRJNA39531,Scaffold,2.84344,32.8,,ACUV01,26.0,2678.0,2009-12-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/855/GCA_000162855.1_ASM16285v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/855/GCF_000162855.1_ASM16285v1
20,GCA_000163335.1,24,13,37,Staphylococcus aureus subsp. aureus A017934/97,Bacteria;Terrabacteria group;Firmicutes,A017934/97,SAMN02595362,PRJNA40307,Scaffold,2.81932,32.8,,ACYP01,20.0,2629.0,2010-01-12T17:07:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/335/GCA_000163335.1_ASM16333v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/335/GCF_000163335.1_ASM16333v1
21,GCA_000163575.1,24,13,37,Staphylococcus aureus subsp. aureus EMRSA16,Bacteria;Terrabacteria group;Firmicutes,EMRSA16,SAMN02595365,PRJNA41351,Scaffold,2.90261,32.8,,ADAT01,26.0,2720.0,2010-04-23T13:26:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/575/GCA_000163575.1_ASM16357v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/575/GCF_000163575.1_ASM16357v1
22,GCA_000164715.1,11,16,27,Staphylococcus aureus subsp. aureus ATCC 51811,Bacteria;Terrabacteria group;Firmicutes,ATCC 51811,SAMN00139434,PRJNA48445,Scaffold,2.77858,32.8,,ADVP01,27.0,2615.0,2010-05-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/715/GCA_000164715.1_ASM16471v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/715/GCF_000164715.1_ASM16471v1
