,Assembly,pident,qcovs,Qval
0,NC_002745.2,0.098,0.12,0.217
1,NC_002758.2,0.129,0.172,0.301
2,NC_002951.2,0.065,0.12,0.185
3,NC_002952.2,0.258,0.129,0.387
4,NC_002953.3,0.118,0.14,0.258
5,NC_003923.1,0.075,0.129,0.204
6,NC_007622.1,0.161,0.204,0.366
7,NC_007793.1,0.0,0.108,0.108
8,NC_007795.1,0.065,0.14,0.204
9,NC_009487.1,0.098,0.12,0.217
10,NC_009632.1,0.098,0.12,0.217
11,NC_009641.1,0.054,0.129,0.183
12,NC_009782.1,0.118,0.151,0.269
13,NC_010079.1,0.0,0.108,0.108
14,NC_013450.1,0.11,0.132,0.242
15,NC_016912.1,0.076,0.152,0.228
16,NC_016928.1,0.109,0.141,0.25
17,NC_017331.1,0.065,0.129,0.194
18,NC_017333.1,0.25,0.152,0.402
19,NC_017337.1,0.143,0.143,0.286
20,NC_017338.1,0.118,0.14,0.258
21,NC_017340.1,0.108,0.129,0.237
22,NC_017341.1,0.075,0.129,0.204
23,NC_017342.1,0.237,0.14,0.376
24,NC_017343.1,0.118,0.14,0.258
25,NC_017347.1,0.075,0.129,0.204
26,NC_017349.1,0.132,0.154,0.286
27,NC_017351.1,0.076,0.12,0.196
28,NC_017673.1,0.228,0.152,0.38
29,NC_017763.1,0.151,0.129,0.28
30,NC_018608.1,0.25,0.163,0.413
31,NC_020529.1,0.12,0.13,0.25
32,NC_020532.1,0.12,0.13,0.25
33,NC_020533.1,0.12,0.13,0.25
34,NC_020536.1,0.12,0.13,0.25
35,NC_020537.1,0.12,0.13,0.25
36,NC_020564.1,0.12,0.13,0.25
37,NC_020566.1,0.12,0.141,0.261
38,NC_020568.1,0.12,0.13,0.25
39,NC_021059.1,0.043,0.118,0.161
40,NC_021554.1,0.247,0.161,0.409
41,NC_021670.1,0.054,0.14,0.194
42,NC_022113.1,0.258,0.151,0.409
43,NC_022222.1,0.151,0.172,0.323
44,NC_022226.1,0.054,0.118,0.172
45,NC_022442.1,0.109,0.13,0.239
46,NC_022443.1,0.12,0.13,0.25
47,NC_022604.1,0.065,0.129,0.194
48,NZ_AP014652.1,0.065,0.118,0.183
49,NZ_AP014653.1,0.065,0.118,0.183
50,NZ_AP014921.1,0.043,0.129,0.172
51,NZ_AP014942.1,0.12,0.141,0.261
52,NZ_AP015012.1,0.118,0.151,0.269
53,NZ_AP017320.1,0.098,0.13,0.228
54,NZ_AP017377.1,0.032,0.118,0.151
55,NZ_CM000952.1,0.269,0.14,0.409
56,NZ_CP006630.1,0.087,0.13,0.217
57,NZ_CP007176.1,0.0,0.108,0.108
58,NZ_CP007454.1,0.118,0.151,0.269
59,NZ_CP007499.1,0.032,0.14,0.172
60,NZ_CP007539.2,0.065,0.12,0.185
61,NZ_CP007657.1,0.011,0.118,0.129
62,NZ_CP007659.1,0.151,0.118,0.269
63,NZ_CP007670.1,0.011,0.118,0.129
64,NZ_CP007672.1,0.011,0.118,0.129
65,NZ_CP007674.1,0.011,0.118,0.129
66,NZ_CP007676.1,0.0,0.118,0.118
67,NZ_CP007690.1,0.0,0.108,0.108
68,NZ_CP009361.1,0.261,0.163,0.424
69,NZ_CP009423.1,0.011,0.118,0.129
