,Assembly,pident,qcovs,Qval
0,NC_002745.2,0.0,0.0,0.0
1,NC_002758.2,0.0,0.0,0.0
2,NC_002951.2,0.0,0.0,0.0
3,NC_002952.2,0.0,0.0,0.0
4,NC_002953.3,0.0,0.0,0.0
5,NC_003923.1,0.0,0.0,0.0
6,NC_007622.1,0.0,0.0,0.0
7,NC_007793.1,0.0,0.0,0.0
8,NC_007795.1,0.0,0.0,0.0
9,NC_009487.1,0.0,0.0,0.0
10,NC_009632.1,0.0,0.0,0.0
11,NC_009641.1,0.0,0.0,0.0
12,NC_009782.1,0.0,0.0,0.0
13,NC_010079.1,0.0,0.0,0.0
14,NC_013450.1,0.0,0.0,0.0
15,NC_016912.1,0.0,0.02,0.02
16,NC_016928.1,0.0,0.02,0.02
17,NC_017331.1,0.0,0.0,0.0
18,NC_017333.1,0.0,0.0,0.0
19,NC_017337.1,0.0,0.0,0.0
20,NC_017338.1,0.0,0.0,0.0
21,NC_017340.1,0.0,0.0,0.0
22,NC_017341.1,0.0,0.0,0.0
23,NC_017342.1,0.0,0.02,0.02
24,NC_017343.1,0.0,0.0,0.0
25,NC_017347.1,0.0,0.0,0.0
26,NC_017349.1,0.0,0.0,0.0
27,NC_017351.1,0.0,0.0,0.0
28,NC_017673.1,0.0,0.0,0.0
29,NC_017763.1,0.0,0.041,0.041
30,NC_018608.1,0.0,0.0,0.0
31,NC_020529.1,0.0,0.02,0.02
32,NC_020532.1,0.0,0.02,0.02
33,NC_020533.1,0.0,0.02,0.02
34,NC_020536.1,0.0,0.02,0.02
35,NC_020537.1,0.0,0.02,0.02
36,NC_020564.1,0.0,0.02,0.02
37,NC_020566.1,0.0,0.02,0.02
38,NC_020568.1,0.0,0.02,0.02
39,NC_021059.1,0.0,0.0,0.0
40,NC_021554.1,0.0,0.02,0.02
41,NC_021670.1,0.0,0.0,0.0
42,NC_022113.1,0.041,0.061,0.102
43,NC_022222.1,0.0,0.041,0.041
44,NC_022226.1,0.0,0.0,0.0
45,NC_022442.1,0.0,0.0,0.0
46,NC_022443.1,0.0,0.0,0.0
47,NC_022604.1,0.0,0.0,0.0
48,NZ_AP014652.1,0.0,0.0,0.0
49,NZ_AP014653.1,0.0,0.0,0.0
50,NZ_AP014921.1,0.0,0.0,0.0
51,NZ_AP014942.1,0.0,0.0,0.0
52,NZ_AP015012.1,0.0,0.0,0.0
53,NZ_AP017320.1,0.0,0.0,0.0
54,NZ_AP017377.1,0.0,0.0,0.0
55,NZ_CM000952.1,0.0,0.0,0.0
56,NZ_CP006630.1,0.0,0.0,0.0
57,NZ_CP007176.1,0.0,0.0,0.0
58,NZ_CP007454.1,0.0,0.0,0.0
59,NZ_CP007499.1,0.0,0.0,0.0
60,NZ_CP007539.2,0.0,0.0,0.0
61,NZ_CP007657.1,0.0,0.0,0.0
62,NZ_CP007659.1,0.0,0.0,0.0
63,NZ_CP007670.1,0.0,0.0,0.0
64,NZ_CP007672.1,0.0,0.0,0.0
65,NZ_CP007674.1,0.0,0.0,0.0
66,NZ_CP007676.1,0.0,0.0,0.0
67,NZ_CP007690.1,0.0,0.0,0.0
68,NZ_CP009361.1,0.0,0.0,0.0
69,NZ_CP009423.1,0.0,0.0,0.0
70,NZ_CP009554.1,0.0,0.0,0.0
71,NZ_CP009681.1,0.0,0.0,0.0
72,NZ_CP009828.1,0.041,0.041,0.082
73,NZ_CP010295.1,0.0,0.0,0.0
74,NZ_CP010296.1,0.0,0.0,0.0
75,NZ_CP010297.1,0.0,0.0,0.0
76,NZ_CP010298.1,0.0,0.0,0.0
77,NZ_CP010299.1,0.0,0.0,0.0
78,NZ_CP010300.1,0.0,0.0,0.0
79,NZ_CP010402.1,0.0,0.0,0.0
